Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
AIN50155.1	3.2.1.4	CBM81(3-93)	CBM81_e0	N	N	2
AIN99167.1	-	GT40(288-505)	GT40_e3	GT40	N	3
AIP45998.1	-	GT112(78-444)	GT112_e2	GT112	N	3
AIP76409.1	2.4.99.-	GT107(147-517)	GT107_e0	GT107	N	3
AIQ21110.1	-	GH126(50-369)	GH126_e18	GH126	N	3
AIQ48554.1	-	GH159(6-224)	GH159_e6	GH159	N	3
AIQ71010.1	3.2.1.59|3.2.1.1|3.2.1.98	CBM35(116-237)+CBM26(305-373)+GH13_42(620-1015)	CBM35_e18+CBM26_e1+GH13_e160	CBM26+CBM35+GH13_42	Y(1-32)	3
AIQ71731.1	4.2.2.2	CBM66(20-146)	CBM66_e6	N	N	2
AIQ81359.1	2.4.1.312	GT61(14-100)	GT61_e0	GT61	N	3
AIR57122.1	2.4.1.-	GT83(86-389)	GT83_e85	GT83	N	3
AIR91649.1	2.4.99.-	GT107(35-322)+GT107(300-665)	GT107_e2+GT107_e2	GT107	N	3
AIS72258.1	-	GT69(54-185)	GT69_e2	GT69	N	3
AIU16687.1	-	CE4(42-159)	CE4_e206	CE4	Y(1-22)	3
AIV12519.1	-	CE5(39-224)	CE5_e2	CE5	Y(1-37)	3
AIV57251.1	-	GT4(239-377)+GT4(641-783)	GT4_e774+GT4_e703	GT4	N	3
AIV79386.1	-	AA5(2-758)	AA5_e1	AA5+CE3	N	3
AIV86669.1	-	GT112(78-444)	GT112_e2	GT112	N	3
AIX20403.1	-	GT6(3-239)	GT6_e0	GT6	N	3
AIX87981.1	3.2.1.32	GH26(112-272)+CBM31(380-459)+CBM31(504-581)	GH26_e41+CBM31_e0+CBM31_e0	CBM31+GH26	Y(1-24)	3
AJC91252.1	2.4.99.4|2.4.99.8|2.4.99.-|2.4.99.6|2.4.99.3	GT42(6-292)	GT42_e0	GT42	N	3
AJE42671.1	3.2.1.21|-	CBM11(51-208)+GH3(408-649)	CBM11_e0+GH3_e161	CBM11+GH3	Y(1-28)	3
AJE50738.1	3.2.1.8|3.1.1.72|3.1.1.6	CE4(37-154)+CBM36(243-356)	CE4_e58+CBM36_e1	CBM36+CE4	Y(1-34)	3
AJE52663.1	-	CE9(16-403)	CE9_e10	CE9	N	3
AJH52637.1	-	GH126(32-352)	GH126_e14	GH126	N	3
AJI02519.1	2.4.1.129	GT51(51-225)	GT51_e20	GT51	N	3
AJI11439.1	-	GH170(4-358)	GH170_e1	GH170	N	3
AJJ22742.1	-	GT11(4-271)	GT11_e11	GT11	N	3
AJJ42828.1	-	PL38(57-335)	PL38_e0	PL38	N	3
AJK84948.1	2.4.99.4|2.4.99.8|2.4.99.-|2.4.99.6|2.4.99.3	GT42(7-286)	GT42_e0	GT42	N	3
AJO25051.1	3.2.1.52	GH20(607-821)	GH20_e93	GH20	N	3
AJP11526.1	3.2.1.26	GH32(35-337)	GH32_e76	GH32	N	3
AJP84789.1	2.4.1.142	GT33(38-444)	GT33_e0	GT33	N	3
AJQ12633.1	2.4.1.-	GT71(170-440)	GT71_e39	GT71	N	3
AJQ16069.1	3.2.1.28	GH37(194-748)	GH37_e7	GH37	N	3
AJQ95231.1	4.2.2.2	PL2(5-540)	PL2_e0	PL2	N	3
AJQ97839.1	3.2.1.8|3.1.1.72|3.2.1.39|-	CBM56(51-124)+CBM6(147-283)+CBM6(292-406)	CBM56_e0+CBM6_e44+CBM6_e15	CBM56+CBM6	N	3
AJR04983.1	-	CBM90(15-154)	CBM90_e0	CBM90	N	3
AJR20404.1	4.2.2.-	PL23(28-600)	PL23_e0	PL23	N	3
AJR63788.1	2.4.1.-	GT50(127-386)	GT50_e0	GT50	N	3
AJR66136.1	2.4.1.-	GT71(150-433)	GT71_e1	GT71	Y(1-34)	3
AJR67065.1	3.2.1.113	GH47(45-532)	GH47_e17	GH47	N	3
AJS53756.1	-	GH76(27-395)	GH76_e0	GH76	Y(1-22)	3
AJT01817.1	2.4.1.-	GT71(198-472)	GT71_e0	GT71	N	3
AJT09156.1	-	GH132(121-419)	GH132_e0	GH132	N	3
AJT13750.1	-	GT15(84-423)	GT15_e5	GT15	N	3
AJT21296.1	3.2.1.39	GH81(420-1108)	GH81_e0	GH81	N	3
AJT27819.1	-	GH132(121-419)	GH132_e0	GH132	Y(1-23)	3
AJT86293.1	2.4.1.-	GT22(8-400)	GT22_e21	GT22	N	3
AJT93505.1	2.4.1.131|2.4.1.-	GT15(70-340)	GT15_e0	GT15	N	3
AJU11806.1	-	GT24(1095-1325)	GT24_e0	GT24	N	3
AJU41176.1	-	GT62(60-323)	GT62_e5	GT62	N	3
AJU55429.1	-	GT62(60-323)	GT62_e5	GT62	N	3
AJU66957.1	1.6.5.6	AA6(3-197)	AA6_e0	AA6	N	3
AJU88542.1	1.6.5.6	AA6(3-197)	AA6_e0	AA6	N	3
AJV62051.1	3.2.1.14	GH18(27-292)+CBM19(491-530)	GH18_e348+CBM19_e0	CBM19+GH18	Y(1-23)	3
AJV73199.1	3.2.1.14	GH18(27-286)+CBM19(516-555)	GH18_e348+CBM19_e0	CBM19+GH18	Y(1-21)	3
AJV74013.1	3.2.1.14	GH18(27-286)+CBM19(491-530)	GH18_e348+CBM19_e0	CBM19+GH18	Y(1-23)	3
AJV80674.1	-	CBM21(208-330)	CBM21_e30	CBM21	Y(1-59)	3
AJV83855.1	3.2.1.14	GH18(27-292)+CBM19(491-530)	GH18_e348+CBM19_e0	CBM19+GH18	Y(1-23)	3
AJZ79284.1	2.4.1.15	GT20(4-451)	GT20_e1	GT20	N	3
AKC38794.1	-	GT87(84-314)	GT87_e22	GT87	N	3
AKC83972.1	-	GH158(23-162)	GH158_e9	GH158	N	3
AKG27701.1	4.2.2.1	PL16(56-333)	PL16_e0	PL16	N	3
AKJ05389.1	3.2.1.2|3.2.1.1|-	GH119(11-888)	GH119_e0+CBM25_e6+CBM25_e6+CBM20_e28	CBM20+CBM25+GH119	Y(1-24)	3
AKL65482.1	-	GH171(77-436)	GH171_e1	GH171	Y(1-32)	3
AKN15576.1	2.3.1.122|3.1.1.-|2.3.1.20	CE1(79-322)	CE1_e32	CE1	N	3
AKN19928.1	3.2.1.4	GH5_2(121-377)+CBM17(406-608)+CBM28(617-801)	GH5_e90+CBM28_e0+CBM28_e0	CBM17+CBM28+GH5_2	N	3
AKO20571.1	3.2.1.52	GH20(192-536)	GH20_e51	GH20	Y(1-46)	3
AKO47523.1	2.4.99.4	GT80(6-390)	GT80_e1	GT80	N	3
AKP52460.1	-	CE6(88-177)	CE6_e1	CE6	Y(1-24)	3
AKP53338.1	N	CE15(1-137)	N	N	N	1
AKQ62924.1	2.4.1.92	GT12(266-393)	GT12_e0	GT12	N	3
AKR26787.1	2.4.99.-	GT73(18-257)	GT73_e2	GT73	N	3
AKS52111.1	4.2.2.1	PL8_1(526-786)	PL8_e2	PL8	Y(1-21)	3
AKS90492.1	-	GT60(6-318)	GT60_e2	GT60	N	3
AKT94866.1	-	GT64(70-253)	GT64_e7	GT64	N	3
AKT95982.1	3.2.1.41|3.2.1.68|3.2.1.1|3.2.1.-|-	CBM41(3-100)+GH13_14(314-622)	CBM41_e0+CBM48_e90+GH13_e95	CBM41+CBM48+GH13_14	N	3
AKV59552.1	-	GT4(184-314)	GT4_e3887	GT4	N	3
AKV90668.1	2.4.1.-	GT23(1-143)	GT23_e1	N	N	2
ALA72402.1	N	GH175(224-429)	N	GH175	Y(1-21)	2
ALA75929.1	-	PL40(1-867)	PL40_e0	PL40	Y(1-21)	3
ALB10831.1	-	GT60(4-326)	GT60_e0	GT60	N	3
ALB27931.1	-	GH170(1-346)	GH170_e13	GH170	N	3
ALB61662.1	3.5.1.108	CE11(4-276)	CE11_e22	CE11	N	3
ALB66565.1	2.4.99.-	GT112(22-394)	GT112_e0	GT112	N	3
ALC19357.1	3.2.1.132	GH46(70-289)	GH46_e9	GH46	N	3
ALD12350.1	-	CBM38(165-289)+GH81(329-843)+CBM32(1313-1425)+CBM32(1545-1656)+CBM32(1675-1792)	CBM38_e9+GH81_e8+CBM32_e53+CBM32_e53+CBM32_e53	CBM32+CBM38+GH81	Y(1-35)	3
ALD14337.1	N	GH184(59-169)	N	GH184	Y(1-29)	2
ALD25678.1	3.2.1.17	GH24(34-156)	GH24_e32	N	N	2
ALD29529.1	3.2.1.129	GH58(213-661)	GH58_e1	GH58	N	3
ALE35740.1	-	GH172(101-360)	GH172_e0	GH172	N	3
ALJ04469.1	-	PL8_2(537-795)	PL8_e21	PL8_2	N	3
ALJ45248.1	3.2.1.-	GH163(196-450)	GH163_e7	GH163	Y(1-20)	3
ALK99497.2	N	PL9(30-316)+PL9(400-565)	N	PL0+PL9	Y(1-34)	2
ALL17443.1	2.4.1.333|2.4.1.-|-	GT84(1319-1533)+GH94(1774-2856)	GT84_e1+GH94_e1	GH0+GH94+GT84	N	3
ALL74801.1	-	GT85(41-462)	GT85_e2	GT85	N	3
ALM69285.1	1.14.99.53	AA10(24-199)+CBM73(434-484)	AA10_e66+CBM73_e35	AA10+CBM73	Y(1-24)	3
ALQ23755.1	3.2.1.-	GH3(78-303)	GH3_e105	GH3	N	3
ALR21896.1	-	GH24(8-138)	GH24_e250	N	N	2
ALR90658.1	-	GH170(3-358)	GH170_e16	GH170	N	3
ALR94021.1	4.2.2.3|4.2.2.11	PL7(57-283)+PL7(295-582)	PL7_e9+PL7_e7	PL7	Y(1-31)	3
ALS29875.1	3.2.1.8	GH10(18-340)	GH10_e135	GH10	N	3
ALS63418.1	4.2.2.14	PL5(12-296)	PL5_e1	PL5	N	3
ALU23958.1	-	GH85(107-463)	GH85_e5	GH85	Y(1-36)	3
ALW00996.1	2.4.1.182	GT19(5-333)	GT19_e0	GT19	N	3
ALX08796.1	3.2.1.4	GH124(61-393)	GH124_e0	GH124	N	3
ALX94372.1	2.4.1.56|2.4.1.289|2.4.99.-	GT99(3-376)+GT102(597-855)+GT103(903-1114)	GT99_e0+GT102_e8+GT103_e0	GT102+GT103+GT99	N	3
ALY41244.1	2.4.1.-	GH17(61-302)+GT2(421-649)	GH17_e66+GT2	GH17+GT2	N	3
ALZ89680.1	-	GH103(41-329)	GH103_e29	GH103	N	3
AMG98049.1	-	GH4(2-181)	GH4_e2	GH4	N	3
AMM53460.1	2.4.1.217	GT55(4-381)	GT55_e1	GT55	N	3
AMM81237.1	2.4.1.224|2.4.1.225	GT45(144-259)+GT45(409-521)	GT2+GT45_e1	GT2+GT45	N	3
AMN35321.1	-	GH20(102-409)	GH20_e31	GH20	N	3
AMP24170.1	-	GH76(37-325)	GH76_e16	GH76	N	3
AMV01159.1	-	CE12(22-222)	CE12_e10	CE12	Y(1-19)	3
AMW18560.1	-	GT2(23-190)	GT2	GT2	N	3
ANB21379.1	3.2.1.170	GH63(39-423)	GH63_e14	GH63	N	3
ANC32197.1	-	AA5(78-809)	AA5_e0	AA5	Y(1-44)	3
AND21470.1	-	GT113(52-389)	GT113_e20	GT113	N	3
ANE48252.1	4.2.2.12|3.2.1.-|-	GH39(173-483)+CBM84(541-640)+CBM84(685-783)	GH39_e138+CBM84_e1+CBM84_e1	CBM84+GH39	Y(1-32)	3
ANF32522.1	-	GH180(47-345)	GH39_e93	GH180	N	3
ANF35327.1	-	GH126(42-350)	GH126_e0	GH126	Y(1-25)	3
ANF69236.1	2.4.99.4	GT80(6-390)	GT80_e1	GT80	N	3
ANI42605.1	2.4.2.-	GT89(14-622)	GT89_e0	GT89	N	3
ANJ30895.1	3.2.1.8	GH11(32-211)	GH11_e15	GH11	Y(1-29)	3
ANL62758.1	2.4.1.-	GT23(7-324)	GT23_e1	GT23	N	3
ANN87268.1	2.4.1.26	GT72(14-367)	GT72_e0	GT72	N	3
ANQ47447.2	-	PL9_2(22-356)	PL9_e18	GH160	N	3
ANQ49303.1	3.2.1.78|3.2.1.8|3.2.1.4|-	GH5_10(22-321)+CBM32(467-581)+CBM64(773-844)	GH5_e269+CBM32_e155+CBM64_e0	CBM32+CBM64+GH5_10	N	3
ANQ51568.1	-	GH86(19-606)	GH86_e2	GH86	Y(1-19)	3
ANQ51606.1	-	GH167(32-747)	GH167_e3	GH167	N	3
ANQ51608.1	3.2.1.157	GH82(41-224)	GH82_e3	GH82	Y(1-21)	3
ANQ52398.1	-	GH167(32-741)	GH167_e3	GH167	Y(1-21)	3
ANR26826.1	N	CBM92(68-177)	N	N	Y(1-40)	1
ANR97234.1	4.2.2.1	CBM70(101-253)+PL8_1(714-988)	CBM70_e0+PL8_e2	CBM70+PL8_1	Y(1-31)	3
ANS70246.1	-	GH154(21-370)	GH154_e3	GH154	N	3
ANS70317.1	3.2.1.8	GH11(53-227)	GH11_e15	GH11	Y(1-39)	3
ANV76357.1	3.2.1.151|3.2.1.4|3.2.1.78|3.2.1.8	CBM30(66-235)+GH9(316-749)+GH44(775-1283)+CBM44(1452-1601)	CBM30_e0+GH9_e11+GH44_e1+CBM44_e0	CBM30+CBM44+GH44+GH9	Y(1-28)	3
ANW30420.1	3.2.1.26	GH32(31-336)	GH32_e57	GH32	N	3
ANW95358.1	-	PL40(1-917)	PL40_e3	PL40	N	3
ANW95874.1	4.2.2.20|4.2.2.8|4.2.2.-	PL37(1-634)	PL37_e0	PL37	N	3
ANW96384.1	-	GH168(71-329)	GH168_e0	GH168	N	3
ANX34786.1	2.4.99.-|2.4.1.-|-	GT4(223-369)+GT97(563-891)	GT4_e1148+GT97_e0	GT4+GT97	N	3
ANX51410.1	2.4.99.-|2.4.1.-|-	GT4(223-369)+GT97(563-891)	GT4_e1148+GT97_e0	GT4+GT97	N	3
ANX68033.1	2.4.99.-|2.4.1.-|-	GT4(223-369)+GT97(563-891)	GT4_e1148+GT97_e0	GT4+GT97	N	3
ANY76912.1	-	PL9(24-229)	PL9_e15	PL0	Y(1-27)	3
ANZ31935.1	3.2.1.41	CBM68(6-99)+GH13_14(260-571)	CBM68_e0+CBM48_e46+GH13_e94	CBM48+CBM68+GH13_14	N	3
ANZ49528.1	-	GH108(14-94)	GH108_e86	GH108	N	3
ANZ77692.1	-	GT91(75-477)	GT91_e10	GT91	N	3
AOC94919.1	3.2.1.-	GH97(20-665)	GH97_e9	GH97	N	3
AOC96649.1	-	GH32(14-255)	GH32_e73	GH0	N	3
AOG18387.1	-	GT69(54-185)	GT69_e2	GT69	N	3
AOG47066.1	-	GT28(191-353)	GT28_e116	GT28	N	3
AOO54164.1	3.2.1.18	GH34(1-167)	GH34_e0	N	N	2
AOR19047.1	-	GH38(7-265)	GH38_e0	GH38	N	3
AOS13421.1	3.2.1.139|3.2.1.131|3.2.1.-	GH67(36-706)	GH67_e0	GH67	N	3
AOT76149.1	2.3.1.122|3.1.1.-|2.3.1.20	CE1(60-322)	CE1_e32	CE1	N	3
AOU35590.1	2.4.1.-	GT88(93-631)	GT88_e0	GT88	N	3
AOW62672.1	2.4.1.-	GT88(97-632)	GT88_e0	GT88	N	3
AOW68042.1	2.4.1.-	GT88(97-632)	GT88_e0	GT88	N	3
AOZ39726.1	2.4.1.-	GT111(7-244)+GT8(273-547)	GT111_e0+GT8_e1	GT111+GT8	N	3
AOZ40617.1	3.2.1.26	GH32(28-328)	GH32_e0	GH32	N	3
APA08891.1	-	CE16(32-290)	CE16_e3	CE16	Y(1-26)	3
APA13522.1	3.2.1.21|3.2.1.-	GH3(62-271)	GH3_e223	CBM1+GH3	Y(1-20)	3
APA41860.1	3.5.1.-|3.2.1.-	CE4(103-271)+GH153(313-664)	CE4_e321+GH153_e1	CE4+GH153	Y(1-26)	3
APC83456.1	-	GT111(5-225)	GT111_e25	GT111	N	3
APF24982.1	3.2.1.54|3.2.1.133|3.2.1.135	CBM34(6-120)+GH13_20(169-465)	CBM34_e0+GH13_e32	CBM34+GH13_20	N	3
APG60249.1	-	GH144(48-448)	GH144_e5	GH144	Y(1-24)	3
API05642.1	-	GT44(38-136)	GT44_e1	GT44	N	3
APL13288.1	-	CBM69(38-161)	CBM69_e1	N	Y(1-35)	2
APL34747.1	-	GT2(20-134)	GT2+GT25_e165	GT2+GT25	N	3
APO79618.1	4.2.2.3	PL5(98-376)	PL5_e0	PL5	Y(1-25)	3
APO98979.1	3.2.1.151|3.2.1.150	GH74(95-213)	GH74_e0+GH74_e0+GH74_e1+GH74_e0	GH74	Y(1-39)	3
APP12063.1	-	GH25(32-201)	GH25_e1	GH25	Y(1-27)	3
APP44294.1	3.5.1.-|3.2.1.-	CE4(102-271)+GH153(314-663)	CE4_e321+GH153_e1	CE4+GH153	N	3
APQ03472.1	3.2.1.39	GH128(59-292)	GH128_e0	GH128	Y(1-39)	3
APX21664.1	-	GH63(33-407)	GH63_e3	GH63	N	3
APY11099.1	4.2.2.-	PL28(56-308)	PL28_e0	PL28	Y(1-25)	3
AQP41385.1	3.2.1.4|3.2.1.73|3.2.1.8|-	GH5_4(74-358)+CBM65(429-522)	GH5_e26+CBM65_e0	CBM65+GH5_4	Y(1-35)	3
AQQ37749.1	-	GH71(37-425)	GH71_e6	GH71	Y(1-29)	3
AQQ58014.1	-	GH140(34-430)	GH140_e5	GH140	Y(1-28)	3
AQQ75131.1	3.2.1.55|3.2.1.-|-	GH62(191-463)	CBM64_e1+GH62_e0	CBM64+GH62	Y(1-39)	3
AQQ80147.1	4.2.2.-	PL23(28-600)	PL23_e0	PL23	N	3
AQS35373.1	-	GT80(12-224)	GT80_e5	GT80	N	3
AQS71042.1	3.2.1.22|-	GH27(147-390)+CBM13(422-547)	GH27_e27+CBM13_e341	CBM13+GH27	Y(1-27)	3
AQW26025.1	3.2.1.18	CBM40(55-236)+GH33(253-681)	CBM40_e6+GH33_e9	CBM40+GH33	N	3
AQW62820.1	2.4.1.217	GT55(6-385)	GT55_e0	GT55	N	3
ARD27276.1	3.2.1.18	GH34(1-466)	GH34_e0	GH34	N	3
ARD79106.1	2.4.1.-	GT56(1-352)	GT56_e0	GT56	N	3
ARF65434.1	3.2.1.39	GH64(35-394)	GH64_e8	GH64	Y(1-27)	3
ARG04903.1	-	GH108(7-90)	GH108_e0	GH108	N	3
ARG59532.1	-	CE1(63-292)	CE1_e25	CE1	Y(1-36)	3
ARL69520.1	-	GT100(68-300)	GT100_e4	GT100	N	3
ARM33051.1	-	GH45_1(85-223)	GH45_e5	GH45	Y(1-33)	3
ARN80430.1	N	GH176(268-665)	N	GH0	N	2
ARN81304.1	3.2.1.178	GH16_21(214-372)	GH16_e154	GH16	Y(1-19)	3
ARP42901.1	3.2.1.37	GH52(22-441)	GH52_e0	GH52	N	3
ARR37771.1	3.2.1.54|3.2.1.133|3.2.1.135	CBM34(7-124)+GH13_20(173-471)	CBM34_e0+GH13_e225	CBM34+GH13_20	N	3
ARS39665.1	3.2.1.31|3.2.1.185	GH2(36-480)+CBM57(736-902)+CBM97(1048-1174)	GH2_e99+CBM57_e0	CBM57+GH2	N	3
ARS40598.1	-	CBM96(1483-1615)	CBM32_e96+CBM32_e96	CBM32	Y(1-21)	3
ART27996.1	3.2.1.81|3.2.1.178	GH86(4-582)	GH86_e7	GH86	N	3
ARV22362.1	3.2.1.89	GH53(32-366)	GH53_e2	GH53	Y(1-24)	3
ARV58122.1	-	GT21(55-282)	GT21_e33	GT21	N	3
ARW01752.1	4.2.2.24	PL26(3-846)	PL26_e0	PL26	N	3
ARX31574.1	3.2.1.20|3.2.1.1|3.2.1.133	CBM34(5-111)+GH13_21(177-491)	CBM34_e8+GH13_e88	CBM34+GH13_21	N	3
ASA79870.1	-	GT100(66-302)	GT100_e0	GT100	N	3
ASB36178.1	-	GH181(27-382)	GH33_e48	GH0	Y(1-23)	3
ASE61970.1	3.2.1.49	GH109(39-455)	GH109_e1	GH109	Y(1-33)	3
ASF42283.1	-	GH164(22-688)	GH164_e0	GH164	N	3
ASI64893.1	-	GH25(30-195)	GH25_e2	GH25	Y(1-27)	3
ASI99584.1	2.4.99.18	GT66(40-769)	GT66_e30	GT66	N	3
ASJ06103.1	3.2.1.20	GH122(7-331)	GH122_e1	GH122	N	3
ASK95580.1	-	GH158(39-175)	GH158_e0	GH158	Y(1-26)	3
ASL12106.1	-	CE5(17-208)	CE5_e61	CE5	N	3
ASL25483.1	2.4.99.-	GT30(34-211)	GT30_e0	GT30	N	3
ASN27800.1	3.2.1.132	GH75(55-218)	GH75_e0	GH75	Y(1-26)	3
ASP10462.1	-	CBM22(458-580)	CBM22_e0+CBM22_e0	CBM0+CBM22	Y(1-21)	3
ASP10624.1	2.4.1.-	GT104(1-375)	GT104_e0	GT104	N	3
ASQ93815.1	-	GH64(39-387)	GH64_e3	GH64	Y(1-26)	3
ASQ94277.1	N	GH178(33-350)	N	GH0	N	2
ASR56276.1	3.2.1.78	GH26(52-375)+CBM23(525-687)+CBM23(707-864)	GH26_e52+CBM23_e4+CBM23_e4+CBM23_e4	CBM23+GH26	Y(1-37)	3
ASU60850.1	3.2.1.4|3.2.1.91|3.2.1.-|3.2.1.73|3.2.1.8	CBM4(36-157)+GH9(278-744)+CBM2(762-863)	CBM4_e0+GH9_e1+CBM2_e76	CBM2+CBM4+GH9	Y(1-31)	3
ASV73112.1	N	GH177(42-405)	N	GH0	Y(1-37)	2
ASV75008.1	-	PL35(384-557)	PL35_e6	PL35	Y(1-34)	3
ASV75864.1	3.2.1.158	GH96(108-616)	GH96_e0	GH96	Y(1-35)	3
ASX15912.1	-	GH59(65-788)	GH59_e1	GH59	Y(1-40)	3
ASX21181.1	-	GT111(5-219)	GT111_e1	GT111	N	3
ASZ12672.1	4.2.2.20|4.2.2.8|4.2.2.-	PL37(4-623)	PL37_e0	PL37	Y(1-28)	3
ATA84883.1	-	GH164(22-688)	GH164_e0	GH164	N	3
ATB34393.1	3.2.1.146|3.2.1.20	GH2(60-469)+CBM42(621-755)+CBM42(775-914)	GH2_e74+CBM42_e1+CBM42_e1	CBM42+GH2	Y(1-33)	3
ATB43383.1	3.2.1.61|-	CBM35(51-176)+CBM35(191-316)+CBM35(354-449)+GH87(413-995)	CBM35_e72+CBM35_e72+GH87_e3	CBM35+GH87	N	3
ATC87764.1	4.2.2.11|4.2.2.3|4.2.2.-	CBM16(24-123)+PL18(194-379)	CBM16_e3+PL18_e0	CBM16+PL18	Y(1-23)	3
ATD28698.1	3.2.1.14|3.2.1.-	GH18(156-575)	GH18_e428	CBM5+GH18	Y(1-19)	3
ATD54516.1	3.2.1.97	GH101(508-1152)	GH101_e2	GH101	N	3
ATF71649.1	2.4.1.8	GH65(320-688)	GH65_e0	GH65	N	3
ATL70354.1	2.4.1.266	GT81(29-320)	GT81_e0	GT81	N	3
ATL80570.1	3.1.1.72	CE3(38-225)	CE3_e10	CE3	Y(1-33)	3
ATN15301.1	-	GT2(43-160)	GT2	GT2	N	3
ATO17768.1	3.2.1.4|-	GH44(32-547)+CBM2(655-755)	GH44_e7+CBM2_e19	CBM2+GH44	Y(1-28)	3
ATO39557.1	3.2.1.1|-	GH13_28(53-333)+CBM74(603-912)+CBM25(1014-1092)	GH13_e34+CBM74_e0+CBM25_e7	CBM25+CBM74+GH13_28	N	3
ATQ64432.1	2.4.2.-	GT85(65-502)	GT85_e0	GT85	N	3
ATS25798.1	3.2.1.3	GH15(220-585)	GH15_e59	GH15	N	3
ATS57556.1	3.2.1.187	GH121(20-1450)	GH121_e0	GH121	N	3
ATS63454.1	-	GH144(60-490)	GH144_e10	GH144	Y(1-28)	3
ATS77398.1	3.2.1.-	GH125(72-474)	GH125_e1	GH125	Y(1-29)	3
ATU36398.1	3.5.1.108	CE11(4-276)	CE11_e22	CE11	N	3
ATZ46161.1	3.2.1.49|3.2.1.22	GH27(126-382)	GH27_e16+CBM13_e189	CBM13+GH27	Y(1-26)	3
ATZ49838.1	-	AA3_2(49-672)	AA3_e44	AA3	Y(1-21)	3
AUA81779.1	4.2.2.n1	GH103(76-371)	GH103_e1	GH103	Y(1-33)	3
AUB74489.1	2.4.1.-	GT104(3-376)	GT104_e0	GT104	N	3
AUC23582.1	3.2.1.39|3.2.1.8|3.1.1.73|3.2.1.75|3.2.1.22|3.2.1.55|-	CBM6(495-612)+CBM88(638-711)+CBM6(719-832)+CBM6(961-1083)+CBM6(1098-1219)+CBM6(1229-1352)+CBM6(1367-1488)	CBM6_e91+CBM88_e1+CBM6_e91+CBM6_e34+CBM6_e66+CBM6_e39+CBM6_e39	CBM6+CBM88	N	3
AUD19938.1	3.2.1.22	GH4(5-185)	GH4_e0	GH4	N	3
AUD48696.1	2.4.1.-	GT54(2-199)+CBM94(208-265)	GT54_e1	GT54	N	3
AUD48756.1	2.4.1.-	GT54(2-199)+CBM94(208-265)	GT54_e1	GT54	N	3
AUD89814.1	2.4.1.211	GH112(4-748)	GH112_e0	GH112	N	3
AUE10229.1	3.2.1.41|3.2.1.1|3.2.1.68|3.2.1.-|3.2.1.116	GH13_32(77-353)+CBM25(535-604)+CBM41(747-857)+GH13_14(1124-1451)	GH13_e240+CBM25_e10+CBM41_e0+CBM41_e0+CBM48_e14+GH13_e95	CBM25+CBM41+CBM48+GH13_14+GH13_32	Y(1-35)	3
AUG28507.1	-	GH175(195-390)	GH63_e16	GH175	N	3
AUG56052.1	3.2.1.151|3.2.1.4	CBM44(358-505)	CBM44_e0	CBM44	N	3
AUH73568.1	-	GH45_1(85-223)	GH45_e5	GH45	Y(1-33)	3
AUI47370.1	-	GH13_10(513-735)	CBM48_e54+GH13_e156	CBM48+GH13	Y(1-20)	3
AUO30192.1	-	GH149(26-1147)	GH149_e1	GH149	N	3
AUP08310.1	4.2.2.1	CBM70(101-253)+PL8_1(714-988)	CBM70_e0+PL8_e2	CBM70+PL8_1	Y(1-31)	3
AUP41766.1	-	GT100(68-302)	GT100_e0	GT100	N	3
AUT02458.1	-	GT94(44-339)	GT94_e6	GT94	N	3
AUX27239.1	-	CE15(5-255)	CE15_e2	CE15	N	3
AUX30805.1	-	CBM44(59-211)	CBM44_e1	CBM44	Y(1-21)	3
AUX36604.1	-	PL12_3(301-439)	PL12_e38	PL0	N	3
AUX48796.1	3.2.1.99|-	CBM84(47-136)+GH43_5(222-499)	CBM84_e0+GH43_e109	CBM84+GH43_5	Y(1-30)	3
AUY68158.1	2.4.99.-	GT73(57-294)	GT73_e0	GT73	N	3
AVB09147.1	-	GT4(191-345)	GT4_e2316	GT4	N	3
AVC51967.1	-	GH144(9-427)	GH144_e0	GH144	N	3
AVD33433.1	2.4.1.-	GT113(11-324)	GT113_e0	GT113	N	3
AVF66634.1	2.4.1.-	GH94(2-799)	GH94_e0	GH94	N	3
AVI96052.1	-	GT100(57-269)	GT100_e1	GT100	N	3
AVJ98124.1	2.4.1.-	GT104(1-375)	GT104_e0	GT104	N	3
AVL81727.1	-	CE8(91-419)	CE8_e3	CE8	Y(1-24)	3
AVM45079.1	3.2.1.-	GH148(71-228)	GH148_e2	GH148	Y(1-22)	3
AVM46263.1	3.2.1.49	GH129(49-656)	GH129_e0	GH129	Y(1-21)	3
AVO57886.1	-	GH73(267-406)	GH73_e204	GH73	N	3
AVO71630.1	3.2.1.17	GH108(9-93)	GH108_e1	GH108	N	3
AVQ15231.1	-	GH77(9-492)	GH77_e5	GH77	N	3
AVT07349.1	3.2.1.8	GH98(57-374)+CBM35(651-756)	GH98_e0+CBM35_e1	CBM35+GH98	Y(1-39)	3
AVT40420.1	-	GT9(72-271)	GT9_e16	GT9	N	3
AVY21824.1	2.4.1.312	GT61(4-98)	GT61_e0	GT61	N	3
AVZ90337.1	-	GH108(7-90)	GH108_e61	N	N	2
AWB68950.1	4.2.2.-	PL24(15-481)	PL24_e0	CBM32+PL24	N	3
AWB79435.1	-	GT83(5-502)	GT83_e19	GT83	N	3
AWD84988.1	3.2.1.18	GH83(39-569)	GH83_e2	GH83	N	3
